id,predinctK,pct_65,pct_18_29,pct_male,pct_black,pct_american_indian,pct_hispanic,pct_asian,pct_bach,pct_smoking,median_income,population_density,pct_yes,pct_65_Z_SCORE,pct_18_29_Z_SCORE,pct_male_Z_SCORE,pct_black_Z_SCORE,pct_american_indian_Z_SCORE,pct_hispanic_Z_SCORE,pct_asian_Z_SCORE,pct_bach_Z_SCORE,pct_smoking_Z_SCORE,median_income_Z_SCORE,population_density_Z_SCORE,pct_yes_Z_SCORE,Shape_Length,Shape_Area,longitude,latitude
41,ALA46,0.183107831078311,0.108405084050840,0.483148831488315,0.093644936449364,0.000902009020090,0.101435014350144,0.125133251332513,0.410168101681017,0.103000000000000,107513.999999999985448,376.871264826045660,0.596121883656510,-0.329105089503001,-0.374327657362446,-0.215854261343608,-0.290062486934577,-0.053304101498149,-0.657857821762186,3.326243905578135,1.206926784001513,-0.889002279829714,0.948848178904268,-0.591332511581521,0.302059901771433,0.144619761325660,0.000635525983466,-82.458915059415162,29.665902894693179
42,ALA47,0.208151204562167,0.085835291867412,0.508738974838828,0.010500892944032,0.000000065416408,0.118375249278400,0.119525321852558,0.534736427092110,0.065534613736386,146035.985614567325683,339.105697935693797,0.540930400288496,-0.144474363264064,-0.683681767595948,0.416421166247430,-0.760742714999123,-0.212714125681628,-0.583345122951624,3.137729417761541,2.153693575408830,-1.757903394156606,2.221604817119766,-0.618046641641293,-0.225592101667220,0.145085633192246,0.000716807895717,-82.458942575187010,29.627570580345907
43,ALA48,0.133600718695771,0.187399014435453,0.494769371435114,0.333260305023153,0.000591182302477,0.172981678561186,0.084064354029697,0.277303660169907,0.151363150115918,59358.924684760066157,518.476889296385366,0.713810316139767,-0.694093221755754,0.708407037284950,0.071263390287427,1.066405295641426,-0.108239791899832,-0.343155276972469,1.945684080796795,0.197106345567684,0.232640901222746,-0.642183300741522,-0.491165312177918,1.427206996791079,0.204466319389249,0.002159553029356,-82.405138245767404,29.610074221063435
44,ALA49,0.170848487970132,0.102602761077590,0.486995120555149,0.114217595387293,0.000672685864362,0.095119403098491,0.112844881269388,0.367351043466277,0.111731556779196,105209.749833354973816,182.903331648901883,0.566635601118360,-0.419486340365003,-0.453857519493628,-0.120821027998214,-0.173600219854949,-0.093834806135553,-0.685637438809528,2.913161716005110,0.881500808419931,-0.686499111655526,0.872716337595507,-0.728539100042484,0.020159595677649,0.422363294263507,0.003345602856290,-82.506369742295590,29.685792172756706
45,ALA5,0.067690848208128,0.662891659710954,0.492655836880862,0.054922379604054,0.000297505840356,0.156759390040690,0.048008984164052,0.321436827938677,0.127978466330224,31620.128974915911385,1477.302242346016783,0.774795799299883,-1.180009676353702,7.225773391671786,0.019042660387108,-0.509271718513799,-0.160144336416298,-0.414510042928490,0.733657501726005,0.532535255807800,-0.309699104472189,-1.558666078370124,0.187076464526857,2.010251887169205,0.071829028352158,0.000254957856385,-82.346349080682401,29.658678030593126
46,ALA50,0.274305275961289,0.109764609964322,0.475037616019379,0.059414290931123,0.001865220847406,0.072029333974683,0.106018868498248,0.533844659523928,0.082005175124343,117702.632495236903196,893.845927368381467,0.692705638903259,0.343242447490511,-0.355693239912498,-0.416264323868782,-0.483842911364973,0.116934503287425,-0.787200573761549,2.683700502917387,2.146915801713770,-1.375916430432590,1.285478013420044,-0.225641499637748,1.225438090680767,0.117403336518475,0.000316672774214,-82.360495139952278,29.671613285380364
47,ALA51,0.184978274323930,0.172349550465936,0.502724367214955,0.141954303145866,0.000860231254448,0.144527604939103,0.046744854068656,0.434035278369240,0.085002134346299,83219.071766581706470,487.571604125438341,0.658920539730135,-0.315315362050747,0.502130723442789,0.267813612351079,-0.016582117497113,-0.060687927498157,-0.468312326252784,0.691162880793468,1.388326431291373,-1.306410642097009,0.146149909572090,-0.513026702740069,0.902439428981376,0.187176178348327,0.001225964535690,-82.428802227582068,29.699890589930522
48,ALA52,0.162664371298758,0.124294556223162,0.451398680758235,0.142618817157007,0.000230679181363,0.102792286029224,0.037382857152110,0.242174493196545,0.144402944519471,86643.039320478783338,67.588821202944388,0.483610451306413,-0.479823235697177,-0.156537724429098,-1.000329746844874,-0.012820289311599,-0.171955318037221,-0.651887776113129,0.376452779681875,-0.069888723928696,0.071219092939677,0.259276929473396,-0.810108823033173,-0.773593062535145,0.588027593909624,0.006725717622146,-82.554022489180497,29.734243677505575
49,ALA53,0.160256997239344,0.084286624836396,0.478258275070513,0.160447051976961,0.000000000000000,0.124099976782342,0.011679783341812,0.230473587263576,0.151589589637494,71092.549970857944572,28.303020093179097,0.564899451553931,-0.497571452454197,-0.704908658279504,-0.336689014313525,0.088105733494911,-0.212725687414665,-0.558164545581806,-0.487574097257276,-0.158820072489067,0.237892510034174,-0.254507296118154,-0.837898317187880,0.003561331959462,0.668935351962362,0.013844389554371,-82.479173631725317,29.867722220284836
50,ALA54,0.056650837959096,0.596246442539045,0.476446477258626,0.165071812068080,0.001987678353039,0.199031070931523,0.168510947744547,0.249073615887786,0.117287731775206,51056.380405227209849,1783.597922980563681,0.769880053309640,-1.261401470924753,6.312297020601225,-0.381454501576645,0.114286600369543,0.138577712302756,-0.228575370843096,4.784415633843887,-0.017452759711016,-0.557639726316226,-0.916497258790910,0.403740037272226,1.963255447467594,0.100326570279009,0.000374590114756,-82.369840036923819,29.610970586023875
